Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
0.1,-,-,0,-,-,0.39215687,0,12.94117641,66
0.2,-,-,0,-,-,0.39215687,0,12.94117641,66
0.3,-,-,0,-,-,0.39215687,0,12.94117641,66
0.4,-,-,0,-,-,0.39215687,0,12.94117641,66
0.5,-,-,0,-,-,0.39215687,0,12.94117641,66
0.6,-,-,0,-,-,0.39215687,0,12.94117641,66
0.7,-,-,0,-,-,0.39215687,0,12.94117641,66
0.8,-,-,0,-,-,0.39215687,0,12.94117641,66
0.9,-,-,0,-,-,0.39215687,0,12.94117641,66
1,-,-,0,-,-,0.39215687,0,12.94117641,66
1.1,-,-,0,-,-,0.39215687,0,12.94117641,66
1.2,-,-,0,-,-,0.39215687,0,12.94117641,66
1.3,-,-,0,-,-,0.39215687,0,12.94117641,66
1.4,-,-,0,-,-,0.39215687,0,12.94117641,66
1.5,-,-,0,-,-,0.39215687,0,12.94117641,66
1.6,-,-,0,-,-,0.39215687,0,12.94117641,66
1.7,-,-,0,-,-,0.39215687,0,12.94117641,66
1.8,-,-,0,-,-,0.39215687,0,12.94117641,66
1.9,-,-,0,-,-,0.39215687,0,12.94117641,66
2,-,-,0,-,-,0.39215687,0,12.94117641,66
2.1,-,-,0,-,-,0.39215687,0,12.94117641,66
2.2,-,-,0,-,-,0.39215687,0,12.94117641,66
2.3,-,-,0,-,-,0.39215687,0,12.94117641,66
2.4,-,-,0,-,-,0.39215687,0,12.94117641,66
2.5,-,-,0,-,-,0.39215687,0,12.94117641,66
2.6,-,-,0,-,-,0.39215687,0,12.94117641,66
2.7,-,-,0,-,-,0.39215687,0,12.94117641,66
2.8,-,-,0,-,-,0.39215687,0,12.94117641,66
2.9,-,-,0,-,-,0.39215687,0,12.94117641,66
3,-,-,0,-,-,0.39215687,0,12.94117641,66
3.1,-,-,0,-,-,0.39215687,0,12.94117641,66
3.2,-,-,0,-,-,0.39215687,0,12.94117641,66
3.3,-,-,0,-,-,0.39215687,0,12.94117641,66
3.4,-,-,0,-,-,0.39215687,0,12.94117641,66
3.5,-,-,0,-,-,0.39215687,0,12.94117641,66
3.6,-,-,0,-,-,0.39215687,0,12.94117641,66
3.7,-,-,0,-,-,0.39215687,0,12.94117641,66
3.8,-,-,0,-,-,0.39215687,0,12.94117641,66
3.9,-,-,0,-,-,0.39215687,0,12.94117641,66
4,-,-,0,-,-,0.39215687,0,75.29412079,66
4.1,-,-,0,-,-,0.39215687,0,75.29412079,66
4.2,-,-,0,-,-,63.13725662,0,75.29412079,66
4.3,-,-,0,-,-,63.13725662,0,75.29412079,66
4.4,-,-,0,-,-,63.13725662,0,75.29412079,66
4.5,-,-,0,-,-,63.13725662,0,75.29412079,66
4.6,-,-,0,-,-,63.13725662,0,75.29412079,66
4.7,-,-,0,-,-,63.13725662,0,75.29412079,66
4.8,-,-,0,-,-,63.13725662,0,75.29412079,66
4.9,-,-,0,-,-,63.13725662,0,75.29412079,66
5,-,-,0,-,-,63.13725662,0,75.29412079,66
5.1,-,-,0,-,-,63.13725662,0,75.68627167,66
5.2,-,-,0,-,-,63.13725662,0,75.68627167,66
5.3,-,-,0,-,-,63.13725662,0,75.68627167,66
5.4,-,-,0,-,-,63.13725662,0,75.68627167,66
5.5,-,-,0,-,-,63.13725662,0,75.68627167,66
5.6,-,-,0,-,-,63.13725662,0,75.68627167,66
5.7,-,-,0,-,-,63.13725662,0,75.68627167,66
5.8,-,-,0,-,-,63.13725662,0,75.68627167,66
5.9,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.1,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.2,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.3,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.4,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.5,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.6,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.7,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.8,78.09482667,9.931125,0,-,-,63.13725662,0,75.68627167,66
6.9,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.1,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.2,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.3,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.4,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.5,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.6,78.09479667,9.931161667,0,-,-,63.13725662,0,75.68627167,66
7.7,78.09479667,9.931161667,0,-,-,41.5686264,0,75.68627167,66
7.8,78.09479667,9.931161667,0,-,-,41.5686264,0,75.68627167,66
7.9,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
8,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
8.1,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
8.2,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
8.3,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
8.4,78.094775,9.931165,0,9.93116474,78.09477234,41.5686264,0,75.68627167,66
