Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
0.1,-,-,1157.25,-,-,0.39215687,0,12.94117641,66
0.2,-,-,1157.25,-,-,0.39215687,0,12.94117641,66
0.3,-,-,1157.25,-,-,0.39215687,0,12.94117641,66
0.4,-,-,1157.25,-,-,0.39215687,0,12.94117641,66
0.5,-,-,1157.25,-,-,0.39215687,0,12.94117641,66
0.6,-,-,1178,-,-,0.39215687,0,12.94117641,66
0.7,-,-,1178,-,-,0.39215687,0,12.94117641,66
0.8,-,-,1178,-,-,0.39215687,0,12.94117641,66
0.9,-,-,1178,-,-,0.39215687,0,12.94117641,66
1,-,-,1178,-,-,0.39215687,0,12.94117641,66
1.1,-,-,1178,-,-,0.39215687,0,12.94117641,66
1.2,-,-,1178,-,-,0.39215687,0,12.94117641,66
1.3,-,-,1178,-,-,0.39215687,0,12.94117641,66
1.4,-,-,1179,-,-,0.39215687,0,12.94117641,66
1.5,-,-,1179,-,-,0.39215687,0,12.94117641,66
1.6,-,-,1179,-,-,0.39215687,0,12.94117641,66
1.7,-,-,1179,-,-,0.39215687,0,12.94117641,66
1.8,-,-,1179,-,-,0.39215687,0,12.94117641,66
1.9,-,-,1179,-,-,0.39215687,0,12.94117641,66
2,-,-,1179,-,-,0.39215687,0,12.94117641,66
2.1,-,-,1179,-,-,0.39215687,0,12.94117641,66
2.2,-,-,1179,-,-,0.39215687,0,12.94117641,66
2.3,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.4,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.5,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.6,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.7,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.8,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
2.9,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
3,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
3.1,-,-,1173.5,-,-,0.39215687,0,12.94117641,66
3.2,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.3,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.4,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.5,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.6,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.7,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.8,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
3.9,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
4,-,-,1186.75,-,-,0.39215687,0,12.94117641,66
4.1,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.2,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.3,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.4,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.5,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.6,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.7,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.8,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
4.9,-,-,1135.5,-,-,0.39215687,0,12.94117641,66
5,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.1,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.2,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.3,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.4,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.5,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.6,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
5.7,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
