Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
8.7,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
8.8,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
8.9,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
9,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
9.1,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
9.2,-,-,1511.5,-,-,0.39215687,0,12.94117641,66
9.3,-,-,1170.75,-,-,0.39215687,0,12.94117641,66
9.4,-,-,1170.75,-,-,0.39215687,0,12.94117641,66
9.5,-,-,1170.75,-,-,0.39215687,0,12.94117641,66
9.6,-,-,1170.75,-,-,0.39215687,0,12.94117641,66
9.7,-,-,1170.75,-,-,0.39215687,0,12.54901981,66
9.8,-,-,1170.75,-,-,0.39215687,0,12.54901981,66
9.9,-,-,1170.75,-,-,0.39215687,0,12.54901981,66
10,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.1,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.2,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.3,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.4,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.5,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.6,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.7,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.8,-,-,1140,-,-,0.39215687,0,12.54901981,66
10.9,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.1,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.2,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.3,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.4,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.5,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.6,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.7,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.8,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
11.9,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
12,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
12.1,-,-,1190.75,-,-,0.39215687,0,12.54901981,66
12.2,-,-,1213,-,-,0.39215687,0,12.54901981,66
12.3,-,-,1213,-,-,0.39215687,0,12.54901981,66
12.4,-,-,1213,-,-,0.39215687,0,12.54901981,66
12.5,-,-,1213,-,-,0.39215687,0,12.94117641,66
12.6,-,-,1213,-,-,0.39215687,0,12.94117641,66
12.7,-,-,1213,-,-,0.39215687,0,12.94117641,66
12.8,-,-,1213,-,-,0.39215687,0,12.94117641,66
12.9,-,-,1213,-,-,0.39215687,0,12.94117641,66
13,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.1,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.2,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.3,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.4,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.5,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.6,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.7,-,-,1164,-,-,0.39215687,0,12.94117641,66
13.8,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
13.9,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
14,-,-,1154.25,-,-,0.39215687,0,12.94117641,66
14.1,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.2,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.3,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.4,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.5,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.6,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.7,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.8,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
14.9,78.13164667,9.969236667,1154.25,-,-,0.39215687,0,12.94117641,66
15,78.13164667,9.969236667,1147,-,-,0.39215687,0,12.94117641,66
15.1,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.2,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.3,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.4,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.5,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.6,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.7,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.8,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
15.9,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
16,78.13197667,9.96914,1147,-,-,0.39215687,0,12.94117641,66
16.1,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.2,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.3,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.4,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.5,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.6,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.7,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.8,78.131995,9.969133333,1149.25,9.96913338,78.13199615,0.39215687,0,12.94117641,66
16.9,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.1,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.2,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.3,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.4,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.5,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.6,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.7,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.8,78.131995,9.969133333,1137.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
17.9,78.131995,9.969133333,1124.5,9.96913338,78.13199615,0.39215687,0,12.94117641,66
18,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0.39215687,0,12.94117641,66
18.1,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0.39215687,0,12.94117641,66
18.2,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0.39215687,0,12.94117641,66
18.3,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0.39215687,0,12.94117641,66
18.4,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0.39215687,0,12.94117641,66
18.5,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0,0,12.94117641,66
18.6,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0,0,12.94117641,66
18.7,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0,0,12.94117641,66
18.8,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0,0,12.94117641,66
18.9,78.13200667,9.969131667,1124.5,9.96913147,78.13200378,0,0,12.94117641,66
19,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.1,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.2,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.3,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.4,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.5,78.13201667,9.969128333,1124.5,9.96912861,78.13201904,0,0,12.94117641,66
19.6,78.13201667,9.969128333,1164,9.96912861,78.13201904,0,0,12.94117641,66
19.7,78.13201667,9.969128333,1164,9.96912861,78.13201904,0,0,12.94117641,66
19.8,78.13201667,9.969128333,1164,9.96912861,78.13201904,0,0,12.94117641,66
19.9,78.13200167,9.96914,1164,9.96914005,78.13200378,0,0,12.94117641,66
20,78.13200167,9.96914,1164,9.96914005,78.13200378,0,0,12.94117641,66
20.1,78.13200167,9.96914,1164,9.96914005,78.13200378,0,0,12.94117641,66
20.2,78.13200167,9.96914,1164,9.96914005,78.13200378,0,0,12.94117641,66
20.4,78.12197,9.972311667,1164,9.97231197,78.12197113,0,0,12.94117641,66
20.5,78.12197,9.972311667,1164,9.97231197,78.12197113,0,0,12.94117641,66
20.6,78.12197,9.972311667,1164,9.97231197,78.12197113,0,0,12.94117641,66
20.7,78.12189667,9.97233,1164,9.97233009,78.12189484,0,0,12.94117641,66
20.8,78.12189667,9.97233,1164,9.97233009,78.12189484,0,0,12.94117641,66
20.9,78.12189667,9.97233,1164,9.97233009,78.12189484,0,0,12.94117641,66
21,78.12189667,9.97233,1164,9.97233009,78.12189484,0,0,12.94117641,66
21.1,78.12189667,9.97233,1164,9.97233009,78.12189484,0,0,12.94117641,66
21.2,78.12189667,9.97233,1226,9.97233009,78.12189484,0,0,12.94117641,66
21.3,78.12189667,9.97233,1226,9.97233009,78.12189484,0,0,12.94117641,66
21.4,78.12189667,9.97233,1226,9.97233009,78.12189484,0,0,12.94117641,66
21.5,78.12189667,9.97233,1226,9.97233009,78.12189484,0,0,12.94117641,66
21.6,78.12189667,9.97233,1226,9.97233009,78.12189484,0,0,12.94117641,66
21.7,78.12180333,9.972333333,1226,9.97233295,78.12180328,0,0,12.94117641,66
21.8,78.12180333,9.972333333,1226,9.97233295,78.12180328,0,0,12.94117641,66
21.9,78.12180333,9.972333333,1226,9.97233295,78.12180328,0,0,12.94117641,66
22,78.12180333,9.972333333,1226,9.97233295,78.12180328,0,0,12.94117641,66
22.1,78.12180333,9.972333333,1226,9.97233295,78.12180328,0.39215687,0,12.94117641,66
22.2,78.12180333,9.972333333,1149.5,9.97233295,78.12180328,0.39215687,0,12.94117641,66
