Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
0.1,78.114875,9.924461667,1188.75,9.92446136,78.11487579,0.39215687,0,12.94117641,66
0.2,78.114875,9.924461667,1188.75,9.92446136,78.11487579,0.39215687,0,12.94117641,66
0.3,78.11488833,9.92445,1188.75,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.4,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.5,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.6,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.7,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.8,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
0.9,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
1,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
1.1,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
1.2,78.11488833,9.92445,1153,9.92444992,78.11489105,0.39215687,0,12.94117641,66
1.3,78.11490833,9.924426667,1153,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.4,78.11490833,9.924426667,1153,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.5,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.6,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.7,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.8,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
1.9,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
2,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
2.1,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
2.2,78.11490833,9.924426667,1176,9.92442703,78.11490631,0.39215687,0,12.94117641,66
2.3,78.11492833,9.9244,1176,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.4,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.5,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.6,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.7,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.8,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
2.9,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
3,78.11492833,9.9244,1175.5,9.92440033,78.1149292,0.39215687,0,12.94117641,66
3.1,78.114815,9.924415,1185.75,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.2,78.114815,9.924415,1185.75,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.3,78.114815,9.924415,1185.75,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.4,78.114815,9.924415,1185.75,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.5,78.114815,9.924415,1185.75,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.6,78.114815,9.924415,1185.25,9.92441463,78.11481476,0.39215687,0,12.94117641,66
3.7,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
3.8,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
3.9,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.1,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.2,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.3,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.4,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.5,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.6,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.7,78.11480333,9.924395,1185.25,9.92439461,78.11480713,0.39215687,0,12.94117641,66
4.8,78.11476167,9.92443,1185.25,9.92442989,78.11476135,0.39215687,0,12.94117641,66
4.9,78.11476167,9.92443,1185.25,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.1,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.2,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.3,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.4,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.5,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.6,78.11476167,9.92443,1164.75,9.92442989,78.11476135,0.39215687,0,12.94117641,66
5.7,78.114755,9.924443333,1164.75,9.92444324,78.11475372,0.39215687,0,12.94117641,66
5.8,78.114755,9.924443333,1164.75,9.92444324,78.11475372,0.39215687,0,12.94117641,66
5.9,78.114755,9.924443333,1173.75,9.92444324,78.11475372,0.39215687,0,12.94117641,66
6,78.114755,9.924443333,1173.75,9.92444324,78.11475372,0.39215687,0,12.94117641,66
6.1,78.114755,9.924443333,1173.75,9.92444324,78.11475372,0.39215687,0,12.94117641,66
