Time,Relative Throttle Position(%),Speed (OBD)(km/h),SOC
20.1,0.78431374,19,66
20.2,0.78431374,19,66
20.3,0.78431374,19,66
20.4,0.78431374,19,66
20.5,0.78431374,19,66
20.6,0.78431374,19,66
20.7,0.78431374,19,66
20.8,0.78431374,19,66
20.9,0.78431374,19,66
21,0.78431374,19,66
21.1,0.78431374,19,66
21.2,0.78431374,18,66
21.3,0.78431374,18,66
21.4,0.78431374,18,66
21.5,1.17647064,18,66
21.6,1.17647064,18,66
21.7,1.17647064,18,66
21.8,1.17647064,18,66
21.9,1.17647064,18,66
22,1.17647064,18,66
22.1,1.56862748,18,66
22.2,1.56862748,18,66
22.3,1.56862748,18,66
22.4,1.56862748,18,66
22.5,1.56862748,18,66
22.6,1.56862748,18,66
22.7,1.56862748,18,66
22.8,1.56862748,18,66
22.9,1.56862748,18,66
23,1.56862748,18,66
23.1,1.96078432,18,66
23.2,1.96078432,18,66
23.3,1.96078432,18,66
23.4,1.96078432,18,66
23.5,1.96078432,18,66
23.6,1.96078432,18,66
23.7,1.96078432,18,66
23.8,1.96078432,18,66
23.9,1.96078432,18,66
24,1.96078432,18,66
24.1,1.96078432,18,66
24.2,1.96078432,18,66
24.3,1.96078432,18,66
24.4,1.96078432,18,66
24.5,0.39215687,18,66
24.6,0.39215687,18,66
24.7,0.39215687,18,66
24.8,0.39215687,18,66
24.9,0.39215687,18,66
25,0.39215687,18,66
25.1,0.39215687,19,66
25.2,0.39215687,19,66
25.3,0.39215687,19,66
25.4,0.39215687,19,66
25.5,0.39215687,19,66
25.6,0.39215687,19,66
25.7,0.39215687,19,66
25.8,0.39215687,19,66
25.9,0.39215687,19,66
26,0.39215687,19,66
26.1,0.39215687,19,66
26.2,0.39215687,14,66
26.3,0.39215687,14,66
26.4,0.39215687,14,66
26.5,0.39215687,14,66
26.6,0.39215687,14,66
26.7,0.39215687,14,66
26.8,0.39215687,11,66
26.9,0.39215687,11,66
27,0.39215687,11,66
27.1,0.39215687,11,66
27.2,0.39215687,11,66
27.3,0.39215687,11,66
27.4,0.39215687,11,66
27.5,0.39215687,9,66
27.6,0.39215687,9,66
27.7,0.39215687,9,66
27.8,0.39215687,9,66
27.9,0.39215687,9,66
28,0.39215687,9,66
28.1,0.39215687,9,66
28.2,0.39215687,9,66
28.3,0.39215687,9,66
28.4,0.39215687,9,66
28.5,0.39215687,9,66
28.6,0.39215687,9,66
28.7,0.39215687,9,66
28.8,0.39215687,9,66
28.9,0.39215687,9,66
29,0.39215687,9,66
29.1,0.39215687,6,66
29.2,0.39215687,6,66
29.3,0.39215687,6,66
29.4,3.52941179,6,66
29.5,3.52941179,6,66
29.6,3.52941179,6,66
29.7,3.52941179,6,66
29.8,3.52941179,6,66
29.9,3.52941179,6,66
30,3.52941179,6,66
30.1,3.52941179,6,66
30.2,3.52941179,6,66
30.3,3.52941179,6,66
30.4,3.52941179,6,66
30.5,3.52941179,6,66
30.6,3.52941179,6,66
30.7,3.52941179,6,66
30.8,3.52941179,6,66
30.9,3.52941179,6,66
31,3.52941179,6,66
31.1,3.52941179,6,66
31.2,3.52941179,6,66
31.3,3.52941179,6,66
31.4,3.52941179,6,66
31.5,5.49019623,6,66
31.6,5.49019623,6,66
31.7,5.49019623,6,66
31.8,5.49019623,6,66
31.9,5.49019623,8,66
32,5.49019623,8,66
32.1,5.49019623,8,66
32.2,12.54901981,8,66
32.3,12.54901981,8,66
32.4,12.54901981,8,66
32.5,12.54901981,8,66
32.6,12.54901981,8,66
32.7,12.54901981,11,66
32.8,12.54901981,11,66
32.9,12.54901981,11,66
33,12.54901981,11,66
33.1,12.54901981,11,66
33.2,12.54901981,11,66
33.3,12.54901981,11,66
33.4,12.54901981,11,66
33.5,12.54901981,20,66
33.6,12.54901981,20,66
33.7,12.54901981,20,66
33.8,12.54901981,20,66
33.9,0.39215687,20,66
34,0.39215687,20,66
34.1,0.39215687,20,66
34.2,0.39215687,20,66
34.3,0.39215687,20,66
34.4,0.39215687,20,66
34.5,0.39215687,20,66
34.6,0.39215687,21,66
34.7,0.39215687,21,66
34.8,0.39215687,21,66
34.9,0.39215687,21,66
35,11.76470566,21,66
35.1,11.76470566,21,66
35.2,11.76470566,21,66
35.3,11.76470566,21,66
35.4,11.76470566,21,66
35.5,11.76470566,21,66
35.6,11.76470566,21,66
35.7,11.76470566,21,66
35.8,6.27450991,21,66
35.9,6.27450991,21,66
36,6.27450991,21,66
36.1,6.27450991,26,66
36.2,6.27450991,26,66
36.3,6.27450991,26,66
36.4,6.27450991,26,66
36.5,6.27450991,26,66
36.6,6.27450991,26,66
36.7,6.27450991,26,66
36.8,0.39215687,26,66
36.9,0.39215687,26,66
37,0.39215687,26,66
37.1,0.39215687,27,66
37.2,0.39215687,27,66
37.3,0.39215687,27,66
37.4,0.39215687,27,66
37.5,0.39215687,27,66
